"filename", "language", "CSS", "HTML", "TypeScript", "JSON with Comments", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\agregar-usuario\invitacion.service.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 1, 8, 27
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\app-routing.module.ts", "TypeScript", 0, 0, 144, 0, 0, 0, 30, 22, 196
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\app.component.css", "CSS", 258, 0, 0, 0, 0, 0, 11, 55, 324
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\app.component.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 14, 39
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\app.component.spec.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 6, 32
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\app.component.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 16, 44, 161
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\app.module.ts", "TypeScript", 0, 0, 168, 0, 0, 0, 11, 10, 189
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consulta.css", "CSS", 302, 0, 0, 0, 0, 0, 13, 146, 461
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-acuerdos\acuerdos.model.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-acuerdos\acuerdos.service.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 13, 46
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.css", "CSS", 308, 0, 0, 0, 0, 0, 5, 147, 460
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.html", "HTML", 0, 84, 0, 0, 0, 0, 5, 70, 159
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.ts", "TypeScript", 0, 0, 127, 0, 0, 0, 24, 62, 213
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-deudas\consultar-deudas.component.css", "CSS", 200, 0, 0, 0, 0, 0, 41, 82, 323
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-deudas\consultar-deudas.component.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 12, 110
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-deudas\consultar-deudas.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-deudas\consultar-deudas.component.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 2, 19, 94
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.css", "CSS", 346, 0, 0, 0, 0, 0, 21, 167, 534
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.html", "HTML", 0, 112, 0, 0, 0, 0, 4, 72, 188
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 25, 62, 211
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-notificaciones\notificaciones.model.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-notificaciones\notificaciones.service.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 1, 13, 42
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-notificaciones\personas.model.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 2, 40
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.css", "CSS", 220, 0, 0, 0, 0, 0, 10, 74, 304
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.html", "HTML", 0, 186, 0, 0, 0, 0, 14, 73, 273
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.ts", "TypeScript", 0, 0, 210, 0, 0, 0, 18, 63, 291
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-usuarios-tesorero\consultar-usuarios-tesorero.component.css", "CSS", 98, 0, 0, 0, 0, 0, 27, 30, 155
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-usuarios-tesorero\consultar-usuarios-tesorero.component.html", "HTML", 0, 49, 0, 0, 0, 0, 2, 3, 54
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-usuarios-tesorero\consultar-usuarios-tesorero.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\consultar-usuarios-tesorero\consultar-usuarios-tesorero.component.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 15, 86
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.css", "CSS", 118, 0, 0, 0, 0, 0, 1, 49, 168
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.html", "HTML", 0, 36, 0, 0, 0, 0, 2, 28, 66
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.scss", "SCSS", 0, 0, 0, 0, 0, 260, 15, 135, 410
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.ts", "TypeScript", 0, 0, 329, 0, 0, 0, 20, 126, 475
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\image.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\image.service.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 4, 7, 32
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\personas.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\personas.model.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\cuenta\usuario.model.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\data.service.ts", "TypeScript", 0, 0, 211, 0, 0, 0, 47, 70, 328
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.css", "CSS", 54, 0, 0, 0, 0, 0, 0, 23, 77
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.html", "HTML", 0, 66, 0, 0, 0, 0, 3, 17, 86
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 1, 37, 135
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.css", "CSS", 62, 0, 0, 0, 0, 0, 0, 25, 87
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.html", "HTML", 0, 91, 0, 0, 0, 0, 2, 29, 122
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.ts", "TypeScript", 0, 0, 224, 0, 0, 0, 7, 62, 293
"c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app\deudas\deudas.component.css", "CSS", 273, 0, 0, 0, 0, 0, 14, 125, 412
